pid,laddr,raddr,status
0,127.0.0.1@8080,127.0.0.1@59857,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59802,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59787,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59800,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59794,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59779,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59853,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59845,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59874,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59796,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59790,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59839,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59782,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59831,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59841,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59786,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59835,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59778,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59837,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59781,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59825,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59876,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59821,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59833,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59813,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59847,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59872,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59829,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59809,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59817,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59812,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59868,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59808,TIME_WAIT
0,127.0.0.1@8080,127.0.0.1@59851,TIME_WAIT
